   0.000 118.022   0.000
  10.000  99.874   2.439
  20.000  96.477   0.494
  30.000  95.343   0.766
  40.000  90.354   1.297
  50.000  88.433   0.723
  60.000  88.625   0.623
  70.000  91.185   1.200
  80.000  90.978   1.171
  90.000  90.774   0.690
 100.000  87.624   0.760
 110.000  86.104   0.608
 120.000  86.247   0.456
 130.000  87.564   0.750
 140.000  89.143   0.558
 150.000  87.896   0.541
 160.000  92.482   0.872
 170.000  93.958   0.525
 180.000  93.492   0.606
 190.000  92.190   0.552
 200.000  91.414   0.492
 210.000  91.732   0.594
 220.000  91.701   0.610
 230.000  92.445   0.633
 240.000  90.702   0.515
 250.000  89.795   0.551
 260.000  89.992   0.744
 270.000  89.813   0.531
 280.000  89.995   0.557
 290.000  92.760   0.537
 300.000  92.385   0.564
 310.000  90.952   0.633
 320.000  91.699   0.784
 330.000  89.711   0.664
 340.000  90.486   0.493
 350.000  90.325   0.643
 360.000  89.194   0.556
 370.000  89.450   0.524
 380.000  88.077   0.588
 390.000  85.890   1.072
 400.000  84.689   0.587
 410.000  84.634   0.438
 420.000  84.643   0.469
 430.000  84.540   0.571
 440.000  81.730   0.690
 450.000  81.054   0.468
 460.000  82.086   0.645
 470.000  80.603   0.560
 480.000  80.242   0.463
 490.000  79.314   0.442
 500.000  81.146   0.962
 510.000  82.183   0.737
 520.000  80.636   0.561
 530.000  81.914   1.133
 540.000  81.534   0.556
 550.000  81.051   0.621
 560.000  79.869   0.712
 570.000  80.924   0.691
 580.000  81.597   0.462
 590.000  81.759   0.545
 600.000  81.220   0.554
 610.000  84.284   0.572
 620.000  84.038   0.518
 630.000  84.493   0.524
 640.000  84.116   0.623
 650.000  82.210   0.484
 660.000  81.488   0.435
 670.000  81.239   0.570
 680.000  81.132   0.452
 690.000  81.128   0.368
 700.000  82.040   0.561
 710.000  82.430   0.406
 720.000  81.841   0.477
 730.000  82.958   0.535
 740.000  82.842   0.476
 750.000  81.317   0.494
 760.000  82.133   0.405
 770.000  80.765   0.557
 780.000  79.514   0.552
 790.000  79.692   0.509
 800.000  79.413   0.446
 810.000  78.394   0.393
 820.000  79.158   0.608
 830.000  78.869   0.401
 840.000  79.022   0.492
 850.000  80.206   0.634
 860.000  78.710   0.495
 870.000  78.906   0.446
 880.000  79.896   0.552
 890.000  79.009   0.467
 900.000  80.671   0.418
 910.000  80.129   0.574
 920.000  79.256   0.511
 930.000  79.623   0.421
 940.000  81.593   0.744
 950.000  82.118   0.489
 960.000  81.458   0.536
 970.000  80.597   0.449
 980.000  81.054   0.600
 990.000  81.363   0.552
1000.000  79.846   0.412
