   0.000 114.174   0.000
  10.000  94.991   2.911
  20.000  86.118   0.572
  30.000  88.493   0.652
  40.000  85.789   1.965
  50.000  77.867   0.627
  60.000  80.446   1.053
  70.000  76.040   0.874
  80.000  75.728   0.870
  90.000  76.726   0.637
 100.000  76.690   0.767
 110.000  77.959   0.537
 120.000  75.745   0.530
 130.000  73.022   0.912
 140.000  73.038   0.741
 150.000  72.574   0.765
 160.000  73.313   0.741
 170.000  74.783   0.588
 180.000  73.580   0.507
 190.000  74.165   0.489
 200.000  74.131   0.707
 210.000  74.528   0.629
 220.000  72.875   0.490
 230.000  72.669   0.423
 240.000  73.150   0.799
 250.000  72.350   0.625
 260.000  73.611   0.539
 270.000  74.067   0.698
 280.000  73.189   0.727
 290.000  72.081   0.454
 300.000  72.253   0.486
 310.000  71.601   0.413
 320.000  72.114   0.444
 330.000  72.011   0.541
 340.000  71.217   0.418
 350.000  71.643   0.503
 360.000  72.323   0.645
 370.000  71.826   0.477
 380.000  71.767   0.549
 390.000  73.266   0.786
 400.000  72.403   0.530
 410.000  70.972   0.578
 420.000  71.998   0.685
 430.000  73.602   0.806
 440.000  72.276   0.583
 450.000  73.408   0.966
 460.000  69.970   0.433
 470.000  70.656   0.714
 480.000  69.674   0.477
 490.000  70.101   0.498
 500.000  69.868   0.576
 510.000  71.146   0.457
 520.000  70.805   0.604
 530.000  70.840   0.590
 540.000  70.333   0.569
 550.000  70.038   0.738
 560.000  67.369   0.559
 570.000  67.449   0.468
 580.000  68.679   0.492
 590.000  68.275   0.551
 600.000  69.235   0.830
 610.000  70.810   0.470
 620.000  69.577   0.583
 630.000  70.827   0.627
 640.000  70.205   0.918
 650.000  69.141   0.585
 660.000  68.700   0.610
 670.000  68.291   0.613
 680.000  67.584   0.526
 690.000  68.594   0.612
 700.000  69.280   0.626
 710.000  69.958   0.502
 720.000  68.797   0.688
 730.000  69.334   0.566
 740.000  69.433   0.548
 750.000  71.168   0.662
 760.000  69.776   0.480
 770.000  69.232   0.417
 780.000     NaN     NaN
 790.000  69.633   0.469
 800.000  67.917   0.565
 810.000  67.880   0.557
 820.000  68.388   0.474
 830.000  67.611   0.426
 840.000  68.073   0.492
 850.000  68.128   0.452
 860.000  68.333   0.506
 870.000  68.046   0.436
 880.000  68.551   0.539
 890.000  68.505   0.542
 900.000  69.544   0.707
 910.000  68.569   0.612
 920.000  67.851   0.621
 930.000  68.073   0.600
 940.000  69.140   0.498
 950.000  68.325   0.505
 960.000  67.517   0.603
 970.000  66.914   0.457
 980.000  66.541   0.432
 990.000  66.783   0.554
1000.000  67.424   0.610
