   0.000 123.893   0.000
  10.000  99.353   3.414
  20.000  91.807   0.851
  30.000  89.857   1.205
  40.000  86.440   0.682
  50.000  86.933   0.784
  60.000  88.696   0.873
  70.000  85.009   1.296
  80.000  81.195   0.951
  90.000  78.594   0.478
 100.000  78.371   0.646
 110.000  75.458   1.044
 120.000  72.930   0.492
 130.000  73.456   0.497
 140.000  72.126   0.581
 150.000  71.777   0.461
 160.000  71.585   0.552
 170.000  71.517   0.457
 180.000  71.293   0.516
 190.000  71.624   0.491
 200.000  70.695   0.468
 210.000  70.722   0.531
 220.000  71.303   0.600
 230.000  72.543   0.672
 240.000  71.690   0.505
 250.000  71.367   0.643
 260.000  72.309   0.529
 270.000  72.511   0.448
 280.000  72.578   0.460
 290.000  73.380   0.522
 300.000  72.461   0.834
 310.000  71.074   0.428
 320.000  71.149   0.482
 330.000  70.664   0.550
 340.000  70.502   0.485
 350.000  72.075   0.569
 360.000  73.335   0.503
 370.000  73.476   0.478
 380.000  73.711   0.459
 390.000  73.017   0.403
 400.000  73.793   0.569
 410.000  72.312   0.612
 420.000  70.996   0.438
 430.000  71.975   0.414
 440.000  71.876   0.389
 450.000  71.811   0.446
 460.000  72.149   0.584
 470.000  71.028   0.560
 480.000  72.874   0.681
 490.000  73.334   0.493
 500.000  72.535   0.726
 510.000  74.231   0.750
 520.000  72.336   0.652
 530.000  72.122   0.556
 540.000  71.147   0.565
 550.000  71.693   0.499
 560.000  70.838   0.624
 570.000  71.152   0.451
 580.000  72.256   0.486
 590.000  72.201   0.657
 600.000  71.895   0.528
 610.000  72.683   0.470
 620.000  73.546   0.493
 630.000  74.232   0.620
 640.000  73.920   0.665
 650.000  74.512   0.509
 660.000  73.582   0.451
 670.000  72.962   0.509
 680.000  72.400   0.451
 690.000  72.673   0.579
 700.000  73.241   0.567
 710.000  71.521   0.759
 720.000  69.572   0.581
 730.000  72.215   0.538
 740.000  71.064   0.604
 750.000  72.091   0.510
 760.000  70.893   0.431
 770.000  71.354   0.660
 780.000  75.414   0.608
 790.000  76.174   0.911
 800.000  76.832   0.632
 810.000  75.761   0.530
 820.000  74.117   0.649
 830.000  73.369   0.576
 840.000  73.248   0.491
 850.000  71.131   0.604
 860.000  72.094   0.728
 870.000  74.186   0.859
 880.000  75.523   0.547
 890.000  75.443   0.579
 900.000  74.310   0.567
 910.000  74.944   0.512
 920.000  74.943   0.528
 930.000  74.885   0.856
 940.000  73.444   0.519
 950.000  73.631   0.475
 960.000  73.745   0.598
 970.000  74.661   0.629
 980.000  74.119   0.553
 990.000  73.152   0.516
1000.000  72.771   0.488
