   0.000 116.865   0.000
  10.000  99.159   2.898
  20.000  96.710   2.386
  30.000  93.588   1.705
  40.000  91.684   0.911
  50.000  90.593   0.877
  60.000  85.209   0.729
  70.000  85.352   0.816
  80.000  85.201   0.963
  90.000  82.399   0.648
 100.000  82.167   0.563
 110.000  80.378   0.572
 120.000  80.025   0.943
 130.000  78.557   0.455
 140.000  78.773   0.473
 150.000  79.238   0.469
 160.000  78.976   0.640
 170.000  78.777   0.632
 180.000  79.672   0.538
 190.000  78.618   0.504
 200.000  79.895   0.484
 210.000  81.419   0.370
 220.000  81.039   0.482
 230.000  80.016   0.498
 240.000  79.477   0.485
 250.000  79.794   0.535
 260.000  81.198   0.423
 270.000  79.728   0.328
 280.000  80.795   0.400
 290.000  80.477   0.504
 300.000  78.280   0.697
 310.000  76.828   0.519
 320.000  76.685   0.430
 330.000  77.418   0.838
 340.000  77.413   0.375
 350.000  77.821   0.453
 360.000  77.031   0.415
 370.000  78.444   0.715
 380.000  78.667   0.649
 390.000  76.782   0.624
 400.000  73.842   0.426
 410.000  74.412   0.526
 420.000  73.768   0.400
 430.000  73.664   0.464
 440.000  76.654   0.459
 450.000  75.233   0.579
 460.000  75.100   0.653
 470.000  74.544   0.416
 480.000  73.593   0.606
 490.000  73.856   0.532
 500.000  74.373   0.525
 510.000  74.102   0.466
 520.000  74.222   0.578
 530.000  74.062   0.484
 540.000  73.079   0.408
 550.000  73.463   0.394
 560.000  73.164   0.370
 570.000  73.968   0.371
 580.000  74.889   0.465
 590.000  74.626   0.429
 600.000  74.791   0.409
 610.000  75.043   0.433
 620.000  75.128   0.388
 630.000  74.856   0.401
 640.000  74.331   0.466
 650.000  75.068   0.500
 660.000  73.860   0.343
 670.000  74.293   0.437
 680.000  73.539   0.428
 690.000  72.686   0.512
 700.000  73.829   0.360
 710.000  73.895   0.388
 720.000  73.833   0.404
 730.000  73.718   0.450
 740.000  73.566   0.503
 750.000  73.619   0.442
 760.000  73.695   0.647
 770.000  72.825   0.446
 780.000  73.217   0.459
 790.000  72.535   0.525
 800.000  71.485   0.386
 810.000  71.526   0.546
 820.000  72.486   0.493
 830.000  71.183   0.610
 840.000  70.324   0.523
 850.000  71.422   0.776
 860.000  71.254   0.415
 870.000  71.380   0.409
 880.000  71.451   0.409
 890.000  70.875   0.361
 900.000  70.819   0.392
 910.000  70.499   0.407
 920.000  70.105   0.463
 930.000  69.928   0.337
 940.000  70.123   0.351
 950.000  70.845   0.450
 960.000  70.849   0.376
 970.000  73.006   0.596
 980.000  73.395   0.493
 990.000  73.562   0.453
1000.000  73.897   0.471
