#	Hbond pair	NaCl	KCl	MgCl2
1	N3-N2	10.451	5.9047	4.4668	1.6157	8.2749	4.4301	
2	N7-N1	7.5810	1.6575	3.2500	0.88388	7.7954	2.3098
3	O6-N1	6.1660	1.8421	4.3584	1.5890	7.0182	3.1467
4	O6-N2	6.6645	3.0545	4.3262	1.1580	11.784	7.6818
5	O2-N4	11.204	5.8666	14.772	8.319	7.5641	3.3070
6	N3-N1	9.6266	5.4715	32.831	8.937	6.0248	2.0741
7	O2-N2	7.3024	3.7922	34.273	 9.779	6.1032	1.7427
8	O2-N1	2.9648	0.87238	5.8140	1.9400	8.9037	6.3093
9	O6-N4	9.9597	4.9503	21.572	16.338	5.0526	1.8864
10	N3-N2	10.451	5.9047	4.4668	1.6157	8.2749	4.4301
11	N3-N4	4.9102	1.8408	4.2104	1.3476	5.8499	2.0018	
