#Cluster   Frames     Frac  AvgDist    Stdev Centroid AvgCDist
       0    95024    0.475    2.022    0.527   162591    3.205
       1    46388    0.232    1.974    0.549    41816    2.695
       2    15389    0.077    1.797    0.513    82727    2.506
       3     6594    0.033    1.743    0.459    14166    2.293
       4     6198    0.031    1.121    0.251     4726    2.860
       5     6143    0.031    1.372    0.331    95026    3.208
       6     1425    0.007    1.296    0.290    24334    2.664
       7      961    0.005    1.191    0.232    19062    3.232
       8      445    0.002    1.017    0.170    75431    2.912
       9      440    0.002    1.086    0.237    20741    2.705
      10      359    0.002    1.017    0.171   186943    3.377
      11      332    0.002    0.984    0.167    30430    2.557
