#Cluster   Frames     Frac  AvgDist    Stdev Centroid AvgCDist
       0    63800    0.319    2.284    0.751   100889    4.595
       1    20033    0.100    2.034    0.668   154400    5.083
       2    12803    0.064    1.849    0.484    49770    4.155
       3     2081    0.010    1.460    0.345    41082    4.228
       4     1345    0.007    1.302    0.294   169994    4.003
       5      847    0.004    1.211    0.242    36383    4.759
       6      820    0.004    1.194    0.208   119113    4.529
       7      683    0.003    1.131    0.180       61    6.741
       8      649    0.003    1.097    0.210    20266    4.063
       9      600    0.003    1.088    0.192   198585    5.043
      10      593    0.003    1.102    0.194   138441    5.548
      11      445    0.002    1.130    0.201    61420    4.591
      12      366    0.002    1.020    0.171    60478    4.868
      13      298    0.001    1.017    0.153    60730    5.003
      14      248    0.001    1.019    0.190    61300    5.384
