#Cluster   Frames     Frac  AvgDist    Stdev Centroid AvgCDist
       0    58103    0.291    1.722    0.473    80626    5.230
       1    33089    0.165    1.897    0.507   128290    4.890
       2    19175    0.096    1.554    0.417    48530    5.590
       3     8781    0.044    1.606    0.533    10362    5.398
       4     5255    0.026    1.627    0.414    20219    5.413
       5     3139    0.016    1.460    0.322     1596    5.740
       6     2922    0.015    1.363    0.254   167402    4.998
       7     2463    0.012    1.454    0.313   197407    4.542
       8     1745    0.009    1.436    0.332   193490    4.671
       9     1039    0.005    1.284    0.275   108150    4.431
      10      847    0.004    1.146    0.195   114401    4.648
      11      793    0.004    1.138    0.233   106018    4.546
      12      732    0.004    1.151    0.206   120357    5.094
      13      712    0.004    1.166    0.268   198195    4.463
      14      635    0.003    1.086    0.181   192791    4.690
      15      540    0.003    1.025    0.195   193863    4.487
      16      539    0.003    1.071    0.162   124235    4.941
      17      513    0.003    1.086    0.216   125660    5.042
      18      486    0.002    1.076    0.203   108381    4.686
      19      478    0.002    1.064    0.186   139980    5.191
      20      437    0.002    1.015    0.178   110670    4.717
      21      394    0.002    1.034    0.175   120130    5.336
      22      341    0.002    0.974    0.165    16373    5.413
      23      330    0.002    0.971    0.165    16671    5.285
      24      293    0.001    1.009    0.168   134192    5.154
      25      284    0.001    0.989    0.173   105597    4.813
