#Cluster   Frames     Frac  AvgDist    Stdev Centroid AvgCDist
       0    26815    0.134    1.892    0.494   135888    3.260
       1     3656    0.018    1.501    0.293   174518    3.515
       2     2017    0.010    1.313    0.234    21742    3.828
       3     1224    0.006    1.234    0.221   191352    3.399
       4     1102    0.006    1.208    0.176   120781    3.261
       5      789    0.004    1.123    0.162   171462    3.311
       6      762    0.004    1.149    0.176    60693    4.134
       7      747    0.004    1.092    0.155    21570    3.649
       8      719    0.004    1.154    0.164    14361    3.799
       9      672    0.003    1.160    0.193    15115    3.517
      10      637    0.003    1.104    0.162   124573    3.551
      11      554    0.003    1.125    0.151   169971    3.458
      12      396    0.002    1.056    0.143   100962    4.616
      13      368    0.002    1.069    0.153    25711    3.555
