#Cluster   Frames     Frac  AvgDist    Stdev Centroid AvgCDist
       0   131320    0.657    2.122    0.990   175513    4.045
       1    21793    0.109    1.938    0.654    28791    2.662
       2    12054    0.060    1.603    0.477    47074    2.843
       3     9121    0.046    1.737    0.441     1800    2.750
       4     2860    0.014    1.425    0.308     6012    3.093
       5     1903    0.010    1.347    0.296    40496    2.618
       6      574    0.003    1.099    0.223    13835    2.733
       7      503    0.003    1.055    0.261   163062    3.428
       8      486    0.002    1.028    0.247    15409    2.826
       9      409    0.002    0.999    0.174    42745    3.034
      10      372    0.002    0.954    0.181    39736    2.614
      11      262    0.001    0.957    0.161   162800    3.407
