#Cluster   Frames     Frac  AvgDist    Stdev Centroid AvgCDist
       0    55346    0.277    1.861    0.503   165366    4.507
       1    29806    0.149    1.769    0.448    82412    3.280
       2    18977    0.095    1.794    0.445    15866    2.815
       3    13944    0.070    2.017    0.627   119277    4.656
       4     3668    0.018    1.559    0.349    53983    2.746
       5     1848    0.009    1.348    0.269    74631    3.108
       6     1523    0.008    1.268    0.227    39817    2.762
       7      952    0.005    1.191    0.226   191391    5.270
       8      852    0.004    1.174    0.186    44241    2.954
       9      851    0.004    1.196    0.229    24709    3.253
      10      595    0.003    1.113    0.191   110911    4.384
      11      551    0.003    1.113    0.161    41821    3.038
      12      541    0.003    1.065    0.154    41185    2.884
