#Cluster   Frames     Frac  AvgDist    Stdev Centroid AvgCDist
       0    82724    0.414    1.662    0.488   167713    3.989
       1    66107    0.331    1.655    0.462    30050    3.340
       2     7920    0.040    1.337    0.334      835    3.817
       3     5215    0.026    1.467    0.328   107337    3.567
       4     2819    0.014    1.506    0.349   103938    3.732
       5     2020    0.010    1.196    0.263     8417    3.850
       6     1850    0.009    1.275    0.303    89859    3.612
       7     1604    0.008    1.433    0.378    16340    3.952
       8      850    0.004    1.133    0.273    91370    3.578
       9      689    0.003    1.188    0.230    12266    4.158
      10      618    0.003    1.161    0.248    93322    3.830
      11      578    0.003    1.118    0.226    10789    3.558
      12      553    0.003    1.080    0.206    86026    3.933
      13      537    0.003    1.015    0.188    74146    3.583
      14      502    0.003    1.103    0.228    15464    4.773
      15      455    0.002    1.088    0.238    91991    3.525
      16      444    0.002    1.087    0.176    97910    4.075
      17      413    0.002    1.006    0.178   102350    3.363
      18      380    0.002    1.068    0.180   121534    4.080
